Specie	probability
Unknown	0.883482
output.soil2.1.fa	0.00502401
output.soil2.10.fa	3.46506e-05
output.soil2.11.fa	0.00283712
output.soil2.12.fa	0.00160201
output.soil2.13.fa	0.00419993
output.soil2.14.fa	0.000871727
output.soil2.15.fa	0.00141669
output.soil2.16.fa	0.00652921
output.soil2.17.fa	0.000383509
output.soil2.18.fa	0.00346852
output.soil2.19.fa	0.000472324
output.soil2.2.fa	0.000982184
output.soil2.20.fa	0.000265055
output.soil2.21.fa	0.000283955
output.soil2.22.fa	0.00320915
output.soil2.23.fa	0.0325159
output.soil2.24.fa	0.00174634
output.soil2.25.fa	0.000871707
output.soil2.26.fa	3.71461e-05
output.soil2.27.fa	0.000237502
output.soil2.28.fa	0.000143921
output.soil2.29.fa	0.00032151
output.soil2.3.fa	0.0014191
output.soil2.30.fa	0.00364578
output.soil2.31.fa	0.00029498
output.soil2.32.fa	0.00213159
output.soil2.33.fa	8.55016e-05
output.soil2.34.fa	0.00160412
output.soil2.35.fa	0.00206656
output.soil2.36.fa	0.00284614
output.soil2.37.fa	0.00144939
output.soil2.38.fa	0.000113259
output.soil2.39.fa	0.00175718
output.soil2.4.fa	0.00218896
output.soil2.40.fa	0.00239016
output.soil2.41.fa	0.000187347
output.soil2.42.fa	0.000150732
output.soil2.43.fa	0.00531265
output.soil2.44.fa	0.00113333
output.soil2.45.fa	0.00128181
output.soil2.46.fa	0.000202688
output.soil2.47.fa	0.00130926
output.soil2.48.fa	0.000203895
output.soil2.49.fa	0.00139216
output.soil2.5.fa	3.57552e-05
output.soil2.50.fa	0.00333626
output.soil2.51.fa	0.00203868
output.soil2.52.fa	0.00164126
output.soil2.53.fa	0.00307896
output.soil2.6.fa	0.0036086
output.soil2.7.fa	0.000151346
output.soil2.8.fa	0.00174343
output.soil2.9.fa	0.000263562
