Specie	probability
Unknown	0.7997849205146035
output.soil1.1.fa	5.1226808963050695e-05
output.soil1.10.fa	0.0006855493445021795
output.soil1.11.fa	4.6535789679958645e-05
output.soil1.12.fa	0.0008820436818150534
output.soil1.13.fa	0.0031658870335002404
output.soil1.14.fa	0.002726736519573122
output.soil1.15.fa	0.006250353349517496
output.soil1.16.fa	0.0024509147623026544
output.soil1.17.fa	0.02503704872428179
output.soil1.18.fa	0.0006968255716348
output.soil1.19.fa	0.009908777498701766
output.soil1.2.fa	0.00013236157394947657
output.soil1.20.fa	0.001217858874583361
output.soil1.21.fa	0.000548474787213991
output.soil1.22.fa	0.0012334071557525998
output.soil1.23.fa	0.0009911485492470771
output.soil1.24.fa	0.0006500915563679558
output.soil1.25.fa	0.00029819907399371087
output.soil1.26.fa	0.000473352535359018
output.soil1.27.fa	0.00019239784084867977
output.soil1.28.fa	0.0003496681436911752
output.soil1.29.fa	8.181754322293001e-05
output.soil1.3.fa	0.0001675773384821708
output.soil1.30.fa	0.00045339924202004273
output.soil1.31.fa	0.0020266306298058583
output.soil1.32.fa	0.0003062157049081911
output.soil1.33.fa	0.003521920299261904
output.soil1.34.fa	0.0027464046409111957
output.soil1.35.fa	0.0022471078756909923
output.soil1.36.fa	0.0011992497363460133
output.soil1.37.fa	0.004515336361854898
output.soil1.38.fa	0.011928009825171889
output.soil1.39.fa	0.005229274984362499
output.soil1.4.fa	0.0007056129850730455
output.soil1.40.fa	0.0003127786735349865
output.soil1.41.fa	0.003889956051726566
output.soil1.42.fa	0.0021363953264804964
output.soil1.43.fa	0.0004822940946163114
output.soil1.44.fa	0.00014348362299152533
output.soil1.45.fa	0.0003736297914826644
output.soil1.46.fa	0.00022704100390715635
output.soil1.47.fa	5.882493886786289e-05
output.soil1.48.fa	0.00011831053988461813
output.soil1.49.fa	0.0006584604524157018
output.soil1.5.fa	0.008853604775238194
output.soil1.50.fa	0.000429062988992623
output.soil1.51.fa	0.003840712015259334
output.soil1.52.fa	0.0052155102600033604
output.soil1.53.fa	0.0010574612884337333
output.soil1.54.fa	0.002210438313868505
output.soil1.55.fa	0.0032904746777176357
output.soil1.56.fa	0.004153115474244951
output.soil1.57.fa	9.994297129490601e-05
output.soil1.58.fa	0.0036725391786906697
output.soil1.59.fa	0.0021293055708861094
output.soil1.6.fa	6.133561543194165e-05
output.soil1.60.fa	0.00044119821135190035
output.soil1.61.fa	0.00032608083348047634
output.soil1.62.fa	9.611089563840068e-05
output.soil1.63.fa	0.0061771023344569685
output.soil1.64.fa	0.02302652642673653
output.soil1.65.fa	0.001640557463771293
output.soil1.66.fa	0.00475424873004712
output.soil1.67.fa	0.0009313765105168572
output.soil1.68.fa	0.0029331864339380205
output.soil1.69.fa	0.002509188780662994
output.soil1.7.fa	8.170741920251003e-05
output.soil1.70.fa	0.009571285516337485
output.soil1.71.fa	0.0012240929843192446
output.soil1.8.fa	0.009398797122976692
output.soil1.9.fa	0.0005715334248014349
